blocks,frequency,subjID,pilot1_1,pilot2_1,pilot2_3,pilot2_2
5,l,3502663,NA,NA,7,NA
5,l,3517616,NA,NA,NA,3
5,l,3517626,NA,6,NA,NA
5,l,3518198,NA,NA,NA,3
5,l,3528246,NA,NA,7,NA
5,l,3528247,NA,NA,7,NA
5,l,3528252,NA,NA,NA,3
5,l,3528273,NA,6,NA,NA
6,control,3394859,8,NA,NA,NA
6,control,3421453,8,NA,NA,NA
6,control,3424063,8,NA,NA,NA
6,control,3430836,8,NA,NA,NA
6,control,3467073,8,NA,NA,NA
6,control,3473048,8,NA,NA,NA
6,control,3475213,8,NA,NA,NA
6,control,3481518,8,NA,NA,NA
6,control,3491839,8,NA,NA,NA
6,control,3502047,NA,8,NA,NA
6,control,3502650,NA,8,NA,NA
6,control,3502663,NA,NA,4,NA
6,control,3517616,NA,NA,NA,9
6,control,3517626,NA,8,NA,NA
6,control,3518198,NA,NA,NA,9
6,control,3528246,NA,NA,4,NA
6,control,3528247,NA,NA,4,NA
6,control,3528252,NA,NA,NA,9
6,control,3528273,NA,8,NA,NA
6,h,3394859,13,NA,NA,NA
6,h,3421453,13,NA,NA,NA
6,h,3424063,13,NA,NA,NA
6,h,3430836,13,NA,NA,NA
6,h,3467073,13,NA,NA,NA
6,h,3473048,13,NA,NA,NA
6,h,3475213,13,NA,NA,NA
6,h,3481518,13,NA,NA,NA
6,h,3491839,13,NA,NA,NA
6,h,3502047,NA,13,NA,NA
6,h,3502650,NA,13,NA,NA
6,h,3502663,NA,NA,16,NA
6,h,3517616,NA,NA,NA,12
6,h,3517626,NA,13,NA,NA
6,h,3518198,NA,NA,NA,12
6,h,3528246,NA,NA,16,NA
6,h,3528247,NA,NA,16,NA
6,h,3528252,NA,NA,NA,12
6,h,3528273,NA,13,NA,NA
6,l,3394859,3,NA,NA,NA
6,l,3421453,3,NA,NA,NA
6,l,3424063,3,NA,NA,NA
6,l,3430836,3,NA,NA,NA
6,l,3467073,3,NA,NA,NA
6,l,3473048,3,NA,NA,NA
6,l,3475213,3,NA,NA,NA
6,l,3481518,3,NA,NA,NA
6,l,3491839,3,NA,NA,NA
6,l,3502047,NA,3,NA,NA
6,l,3502650,NA,3,NA,NA
6,l,3502663,NA,NA,4,NA
6,l,3517616,NA,NA,NA,3
6,l,3517626,NA,3,NA,NA
6,l,3518198,NA,NA,NA,3
6,l,3528246,NA,NA,4,NA
6,l,3528247,NA,NA,4,NA
6,l,3528252,NA,NA,NA,3
6,l,3528273,NA,3,NA,NA
