Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Question Key,Response
4,1596480066623,03/08/2020 18:41:06,1596480064253,-5,03/08/2020 13:41:04,15519,20,questionnaire-mkjr,,6349453,BLIND,1800333,,complete,,5f285a1ab955cc15e8adab39,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,958x931,,Consent,6,LF,q6,1
5,1596480066623,03/08/2020 18:41:06,1596480064253,-5,03/08/2020 13:41:04,15519,20,questionnaire-mkjr,,6349453,BLIND,1800333,,complete,,5f285a1ab955cc15e8adab39,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,958x931,,Consent,6,LF,END QUESTIONNAIRE,28227
1,1596480042150,03/08/2020 18:40:42,1596480041370,-4,03/08/2020 14:40:41,15519,20,questionnaire-mkjr,,6349454,BLIND,1800334,,complete,,5f285a2029473016030bc83e,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1920x966,,Consent,6,LF,BEGIN QUESTIONNAIRE,
2,1596480122269,03/08/2020 18:42:02,1596480121670,-4,03/08/2020 14:42:01,15519,20,questionnaire-mkjr,,6349454,BLIND,1800334,,complete,,5f285a2029473016030bc83e,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1920x966,,Consent,6,LF,BEGIN QUESTIONNAIRE,
3,1596480130282,03/08/2020 18:42:10,1596480129590,-4,03/08/2020 14:42:09,15519,20,questionnaire-mkjr,,6349454,BLIND,1800334,,complete,,5f285a2029473016030bc83e,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1920x966,,Consent,6,LF,q1,1
4,1596480130829,03/08/2020 18:42:10,1596480129592,-4,03/08/2020 14:42:09,15519,20,questionnaire-mkjr,,6349454,BLIND,1800334,,complete,,5f285a2029473016030bc83e,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1920x966,,Consent,6,LF,q4,1
5,1596480130829,03/08/2020 18:42:10,1596480129592,-4,03/08/2020 14:42:09,15519,20,questionnaire-mkjr,,6349454,BLIND,1800334,,complete,,5f285a2029473016030bc83e,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1920x966,,Consent,6,LF,q6,1
6,1596480130829,03/08/2020 18:42:10,1596480129592,-4,03/08/2020 14:42:09,15519,20,questionnaire-mkjr,,6349454,BLIND,1800334,,complete,,5f285a2029473016030bc83e,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1920x966,,Consent,6,LF,END QUESTIONNAIRE,7922
1,1596480047897,03/08/2020 18:40:47,1596480047461,-5,03/08/2020 13:40:47,15519,20,questionnaire-mkjr,,6349455,BLIND,1800335,,complete,,5f285a1acbd1db1581e27d65,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1368x912,1368x802,,Consent,6,LF,BEGIN QUESTIONNAIRE,
2,1596480246161,03/08/2020 18:44:06,1596480245852,-5,03/08/2020 13:44:05,15519,20,questionnaire-mkjr,,6349455,BLIND,1800335,,complete,,5f285a1acbd1db1581e27d65,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1368x912,1368x802,,Consent,6,LF,q1,1
3,1596480246786,03/08/2020 18:44:06,1596480245857,-5,03/08/2020 13:44:05,15519,20,questionnaire-mkjr,,6349455,BLIND,1800335,,complete,,5f285a1acbd1db1581e27d65,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1368x912,1368x802,,Consent,6,LF,q4,1
4,1596480246786,03/08/2020 18:44:06,1596480245858,-5,03/08/2020 13:44:05,15519,20,questionnaire-mkjr,,6349455,BLIND,1800335,,complete,,5f285a1acbd1db1581e27d65,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1368x912,1368x802,,Consent,6,LF,q6,1
5,1596480246786,03/08/2020 18:44:06,1596480245858,-5,03/08/2020 13:44:05,15519,20,questionnaire-mkjr,,6349455,BLIND,1800335,,complete,,5f285a1acbd1db1581e27d65,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1368x912,1368x802,,Consent,6,LF,END QUESTIONNAIRE,198398
1,1596480055528,03/08/2020 18:40:55,1596480055255,-5,03/08/2020 13:40:55,15519,20,questionnaire-mkjr,,6349458,BLIND,1800336,,complete,,5f285a2033b5cf155a2198a4,computer,Desktop or Laptop,Windows 8,Chrome 84.0.4147.105,1920x1080,1912x939,,Consent,6,LF,BEGIN QUESTIONNAIRE,
2,1596480094000,03/08/2020 18:41:34,1596480093762,-5,03/08/2020 13:41:33,15519,20,questionnaire-mkjr,,6349458,BLIND,1800336,,complete,,5f285a2033b5cf155a2198a4,computer,Desktop or Laptop,Windows 8,Chrome 84.0.4147.105,1920x1080,1912x939,,Consent,6,LF,q1,1
3,1596480094172,03/08/2020 18:41:34,1596480093765,-5,03/08/2020 13:41:33,15519,20,questionnaire-mkjr,,6349458,BLIND,1800336,,complete,,5f285a2033b5cf155a2198a4,computer,Desktop or Laptop,Windows 8,Chrome 84.0.4147.105,1920x1080,1912x939,,Consent,6,LF,q4,1
4,1596480094172,03/08/2020 18:41:34,1596480093765,-5,03/08/2020 13:41:33,15519,20,questionnaire-mkjr,,6349458,BLIND,1800336,,complete,,5f285a2033b5cf155a2198a4,computer,Desktop or Laptop,Windows 8,Chrome 84.0.4147.105,1920x1080,1912x939,,Consent,6,LF,q6,1
5,1596480094172,03/08/2020 18:41:34,1596480093766,-5,03/08/2020 13:41:33,15519,20,questionnaire-mkjr,,6349458,BLIND,1800336,,complete,,5f285a2033b5cf155a2198a4,computer,Desktop or Laptop,Windows 8,Chrome 84.0.4147.105,1920x1080,1912x939,,Consent,6,LF,END QUESTIONNAIRE,38512
1,1596480058403,03/08/2020 18:40:58,1596480056781,-4,03/08/2020 14:40:56,15519,20,questionnaire-mkjr,,6349459,BLIND,1800337,,complete,,5f285a1e64c30a15cf3b60f3,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1920x966,,Consent,6,FL,BEGIN QUESTIONNAIRE,
2,1596480075983,03/08/2020 18:41:15,1596480074451,-4,03/08/2020 14:41:14,15519,20,questionnaire-mkjr,,6349459,BLIND,1800337,,complete,,5f285a1e64c30a15cf3b60f3,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1920x966,,Consent,6,FL,q1,1
3,1596480076171,03/08/2020 18:41:16,1596480074453,-4,03/08/2020 14:41:14,15519,20,questionnaire-mkjr,,6349459,BLIND,1800337,,complete,,5f285a1e64c30a15cf3b60f3,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1920x966,,Consent,6,FL,q4,1
4,1596480076171,03/08/2020 18:41:16,1596480074453,-4,03/08/2020 14:41:14,15519,20,questionnaire-mkjr,,6349459,BLIND,1800337,,complete,,5f285a1e64c30a15cf3b60f3,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1920x966,,Consent,6,FL,q6,1
5,1596480076171,03/08/2020 18:41:16,1596480074453,-4,03/08/2020 14:41:14,15519,20,questionnaire-mkjr,,6349459,BLIND,1800337,,complete,,5f285a1e64c30a15cf3b60f3,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1920x966,,Consent,6,FL,END QUESTIONNAIRE,17672
1,1596480056747,03/08/2020 18:40:56,1596480042805,-5,03/08/2020 13:40:42,15519,20,questionnaire-mkjr,,6349460,BLIND,1800338,,complete,,5f285a1ffdc2e315f6b2f961,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1920x937,,Consent,6,FL,BEGIN QUESTIONNAIRE,
2,1596480130455,03/08/2020 18:42:10,1596480116582,-5,03/08/2020 13:41:56,15519,20,questionnaire-mkjr,,6349460,BLIND,1800338,,complete,,5f285a1ffdc2e315f6b2f961,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1920x937,,Consent,6,FL,q1,1
3,1596480130580,03/08/2020 18:42:10,1596480116584,-5,03/08/2020 13:41:56,15519,20,questionnaire-mkjr,,6349460,BLIND,1800338,,complete,,5f285a1ffdc2e315f6b2f961,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1920x937,,Consent,6,FL,q4,1
4,1596480130580,03/08/2020 18:42:10,1596480116584,-5,03/08/2020 13:41:56,15519,20,questionnaire-mkjr,,6349460,BLIND,1800338,,complete,,5f285a1ffdc2e315f6b2f961,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1920x937,,Consent,6,FL,q6,1
5,1596480130580,03/08/2020 18:42:10,1596480116584,-5,03/08/2020 13:41:56,15519,20,questionnaire-mkjr,,6349460,BLIND,1800338,,complete,,5f285a1ffdc2e315f6b2f961,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1920x937,,Consent,6,FL,END QUESTIONNAIRE,73779
1,1596480096031,03/08/2020 18:41:36,1596480095867,-5,03/08/2020 13:41:35,15519,20,questionnaire-mkjr,,6349475,BLIND,1800346,,complete,,5f285a234375e414f498fac0,computer,Desktop or Laptop,Mac OS 10.15,Firefox 79.0,1440x900,1184x715,,Consent,6,LF,BEGIN QUESTIONNAIRE,
2,1596480228667,03/08/2020 18:43:48,1596480228583,-5,03/08/2020 13:43:48,15519,20,questionnaire-mkjr,,6349475,BLIND,1800346,,complete,,5f285a234375e414f498fac0,computer,Desktop or Laptop,Mac OS 10.15,Firefox 79.0,1440x900,1184x715,,Consent,6,LF,q1,1
3,1596480228839,03/08/2020 18:43:48,1596480228585,-5,03/08/2020 13:43:48,15519,20,questionnaire-mkjr,,6349475,BLIND,1800346,,complete,,5f285a234375e414f498fac0,computer,Desktop or Laptop,Mac OS 10.15,Firefox 79.0,1440x900,1184x715,,Consent,6,LF,q4,1
4,1596480228839,03/08/2020 18:43:48,1596480228585,-5,03/08/2020 13:43:48,15519,20,questionnaire-mkjr,,6349475,BLIND,1800346,,complete,,5f285a234375e414f498fac0,computer,Desktop or Laptop,Mac OS 10.15,Firefox 79.0,1440x900,1184x715,,Consent,6,LF,q6,1
5,1596480228839,03/08/2020 18:43:48,1596480228585,-5,03/08/2020 13:43:48,15519,20,questionnaire-mkjr,,6349475,BLIND,1800346,,complete,,5f285a234375e414f498fac0,computer,Desktop or Laptop,Mac OS 10.15,Firefox 79.0,1440x900,1184x715,,Consent,6,LF,END QUESTIONNAIRE,132718
1,1596480115365,03/08/2020 18:41:55,1596480115288,1,03/08/2020 19:41:55,15519,20,questionnaire-mkjr,,6349479,BLIND,1800348,,complete,,5f285a16a5cb6014d167d041,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 83.0.4103.116,1280x800,1280x721,,Consent,6,FL,BEGIN QUESTIONNAIRE,
2,1596480124101,03/08/2020 18:42:04,1596480124082,1,03/08/2020 19:42:04,15519,20,questionnaire-mkjr,,6349479,BLIND,1800348,,complete,,5f285a16a5cb6014d167d041,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 83.0.4103.116,1280x800,1280x721,,Consent,6,FL,q1,1
