Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Correct,presentedImage,presentedLabel,learningType,response
41,1596621974623,05/08/2020 10:06:14,1596621974100,-4,05/08/2020 06:06:14,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,40,,/task/90393/10/asset/Slide13.JPG,This is a bim:,LF,
42,1596621975630,05/08/2020 10:06:15,1596621975106,-4,05/08/2020 06:06:15,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a wug:,,learningBlock1,,html-keyboard-response,41,,,,,
43,1596621975942,05/08/2020 10:06:15,1596621975435,-4,05/08/2020 06:06:15,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide14.JPG,,,,image-keyboard-response,42,,,,,
44,1596621976944,05/08/2020 10:06:16,1596621976437,-4,05/08/2020 06:06:16,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,43,,/task/90393/10/asset/Slide14.JPG,This is a wug:,LF,
45,1596621977960,05/08/2020 10:06:17,1596621977439,-4,05/08/2020 06:06:17,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a tob:,,learningBlock1,,html-keyboard-response,44,,,,,
46,1596621978289,05/08/2020 10:06:18,1596621977768,-4,05/08/2020 06:06:17,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide15.JPG,,,,image-keyboard-response,45,,,,,
47,1596621979304,05/08/2020 10:06:19,1596621978770,-4,05/08/2020 06:06:18,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,46,,/task/90393/10/asset/Slide15.JPG,This is a tob:,LF,
48,1596621980287,05/08/2020 10:06:20,1596621979776,-4,05/08/2020 06:06:19,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a dep:,,learningBlock1,,html-keyboard-response,47,,,,,
49,1596621980648,05/08/2020 10:06:20,1596621980106,-4,05/08/2020 06:06:20,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide16.JPG,,,,image-keyboard-response,48,,,,,
50,1596621981649,05/08/2020 10:06:21,1596621981110,-4,05/08/2020 06:06:21,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,49,,/task/90393/10/asset/Slide16.JPG,This is a dep:,LF,
51,1596621982649,05/08/2020 10:06:22,1596621982114,-4,05/08/2020 06:06:22,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a bim:,,learningBlock1,,html-keyboard-response,50,,,,,
52,1596621982950,05/08/2020 10:06:22,1596621982446,-4,05/08/2020 06:06:22,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide17.JPG,,,,image-keyboard-response,51,,,,,
53,1596621984013,05/08/2020 10:06:24,1596621983448,-4,05/08/2020 06:06:23,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,52,,/task/90393/10/asset/Slide17.JPG,This is a bim:,LF,
54,1596621984974,05/08/2020 10:06:24,1596621984451,-4,05/08/2020 06:06:24,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a tob:,,learningBlock1,,html-keyboard-response,53,,,,,
55,1596621985305,05/08/2020 10:06:25,1596621984780,-4,05/08/2020 06:06:24,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide18.JPG,,,,image-keyboard-response,54,,,,,
56,1596621986305,05/08/2020 10:06:26,1596621985785,-4,05/08/2020 06:06:25,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,55,,/task/90393/10/asset/Slide18.JPG,This is a tob:,LF,
57,1596621987321,05/08/2020 10:06:27,1596621986791,-4,05/08/2020 06:06:26,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a wug:,,learningBlock1,,html-keyboard-response,56,,,,,
58,1596621987649,05/08/2020 10:06:27,1596621987121,-4,05/08/2020 06:06:27,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide19.JPG,,,,image-keyboard-response,57,,,,,
59,1596621988649,05/08/2020 10:06:28,1596621988128,-4,05/08/2020 06:06:28,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,58,,/task/90393/10/asset/Slide19.JPG,This is a wug:,LF,
60,1596621989650,05/08/2020 10:06:29,1596621989132,-4,05/08/2020 06:06:29,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a bim:,,learningBlock1,,html-keyboard-response,59,,,,,
