task,subjID,display,trial,fribblePresented,resp,labelPresented,frequency,rt,trialType,list,expeType
contingency,3467073,task,12,30225,88,wug,l,2633.31,mismatch-type1,1,pilot1
contingency,3467073,task,13,11875,44,dep,h,2517.545,match,1,pilot1
contingency,3467073,task,14,12075,-70,wug,h,3209.535,mismatch-type1,1,pilot1
contingency,3467073,task,15,20775,100,wug,h,2823.58,match,1,pilot1
contingency,3467073,task,16,30325,100,wug,l,2651.155,mismatch-type1,1,pilot1
contingency,3467073,task,17,30725,-91,tob,l,3791.565,match,1,pilot1
contingency,3467073,task,18,11425,63,tob,l,2461.375,mismatch-type1,1,pilot1
contingency,3467073,task,19,20325,40,dep,l,3334.32,mismatch-type1,1,pilot1
contingency,3467073,task,20,20625,-90,wug,l,3114.71,match,1,pilot1
contingency,3467073,task,21,21575,96,wug,h,2772.72,match,1,pilot1
contingency,3467073,task,22,10175,-52,dep,h,2278.765,match,1,pilot1
contingency,3467073,task,23,22325,32,dep,l,2881.92,mismatch-type1,1,pilot1
contingency,3467073,task,24,32575,-40,dep,h,2149.285,mismatch-type1,1,pilot1
contingency,3467073,task,25,11375,-95,wug,h,4966.085,mismatch-type1,1,pilot1
contingency,3467073,task,26,33275,17,dep,h,3491.44,mismatch-type1,1,pilot1
contingency,3467073,task,27,12275,25,dep,h,5213.785,match,1,pilot1
contingency,3467073,task,28,31425,-53,tob,l,3095.35,match,1,pilot1
contingency,3467073,task,29,21975,-66,tob,h,2649.265,mismatch-type1,1,pilot1
contingency,3467073,task,30,11625,18,tob,l,2416.585,mismatch-type1,1,pilot1
contingency,3467073,task,31,22125,-76,wug,l,2714.555,match,1,pilot1
contingency,3467073,task,32,11325,21,tob,l,2786.3,mismatch-type1,1,pilot1
contingency,3467073,task,33,30825,-90,tob,l,2911.72,match,1,pilot1
contingency,3467073,task,34,12875,-75,wug,h,3665.3,mismatch-type1,1,pilot1
contingency,3467073,task,35,32775,29,dep,h,2389.455,mismatch-type1,1,pilot1
contingency,3467073,task,36,23175,-71,tob,h,2542.17,mismatch-type1,1,pilot1
contingency,3467073,task,37,20425,-75,wug,l,2678.88,match,1,pilot1
contingency,3467073,task,38,20925,-97,wug,l,2388.64,match,1,pilot1
contingency,3467073,task,39,31475,19,tob,h,2537.705,match,1,pilot1
