subjID frequency learning testing trialType acc
12 h sx sx control 1
12 h sx sx control 1
12 h sx sx control 1
12 h sx sx control 1
12 h sx sx exp 0
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 0
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 0
12 h sx sx exp 1
12 h sx sx exp 1
12 h sx sx exp 1
12 l sx sx exp 0
12 l sx sx exp 1
12 l sx sx exp 1
12 l sx sx exp 1
12 l sx sx exp 1
12 l sx sx exp 1
12 l sx sx exp 1
12 l sx sx exp 0
12 l sx sx exp 1
12 l sx sx exp 0
12 l sx sx exp 0
12 l sx sx exp 0
12 l sx sx exp 0
12 l sx sx exp 0
12 l sx sx exp 0
12 l sx sx exp 0
12 l sx sx exp 0
12 l sx sx exp 1
12 l sx sx exp 1
12 l sx sx exp 1
12 l sx sx exp 1
12 l sx sx exp 1
12 l sx sx exp 1
12 l sx sx exp 1
10 h sx sx control 1
10 h sx sx control 1
10 h sx sx control 1
10 h sx sx control 1
10 h sx sx control 1
10 h sx sx control 1
10 h sx sx control 1
10 h sx sx control 1
10 h sx sx exp 0
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 0
10 h sx sx exp 0
10 h sx sx exp 0
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 1
10 h sx sx exp 0
10 h sx sx exp 1
10 l sx sx exp 0
10 l sx sx exp 1
10 l sx sx exp 0
10 l sx sx exp 0
10 l sx sx exp 0
10 l sx sx exp 0
10 l sx sx exp 0
10 l sx sx exp 0
10 l sx sx exp 1
10 l sx sx exp 1
10 l sx sx exp 1
10 l sx sx exp 0
10 l sx sx exp 0
10 l sx sx exp 0
10 l sx sx exp 1
10 l sx sx exp 1
10 l sx sx exp 1
10 l sx sx exp 1
