fribbleID,subjID,learning,task,label,rt,resp,plugin,trialIndex,acc,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType
1,1800336,LF,pictureLabels,tobdepwugbim,1926.22500000289,bim,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1803473,FL,pictureLabels,tobdepwugbim,NA,NA,image-button-response,486,NA,10375,3,high,dep,blue,exp
1,1802986,FL,pictureLabels,tobdepwugbim,1414,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1827024,LF,pictureLabels,tobdepwugbim,NA,NA,image-button-response,486,NA,10375,3,high,dep,blue,exp
1,1829239,LF,pictureLabels,tobdepwugbim,2992.6100000157,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1826935,FL,pictureLabels,tobdepwugbim,1968,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1802429,LF,pictureLabels,tobdepwugbim,2318.299999999,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1825233,FL,pictureLabels,tobdepwugbim,NA,NA,image-button-response,486,NA,10375,3,high,dep,blue,exp
1,1803023,LF,pictureLabels,tobdepwugbim,1714.23499996308,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1798890,FL,pictureLabels,tobdepwugbim,1507.48000000021,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1800478,FL,pictureLabels,tobdepwugbim,2977.75499999989,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1802998,FL,pictureLabels,tobdepwugbim,1275.27499990538,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1826983,LF,pictureLabels,tobdepwugbim,2349.38500000862,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1839507,FL,pictureLabels,tobdepwugbim,NA,NA,image-button-response,486,NA,10375,3,high,dep,blue,exp
1,1826550,FL,pictureLabels,tobdepwugbim,3052.82500000251,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1826940,LF,pictureLabels,tobdepwugbim,2546.84999980964,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1825240,LF,pictureLabels,tobdepwugbim,2255.73500001337,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
