,Estimate,Std. Error,z value,Pr(>|z|),n,BF,is_sing,conv_error,loopNumber
learning.ct89,-0.228,0.5735,-0.3976,0.6909,19,0.52521554,N,N,60
correctFrequency.ct:learning.ct89,-0.5179,0.9817,-0.5275,0.5978,19,0.522327228,N,N,60
correctFrequencyhigh:learning.ct89,-0.8606,0.596,-1.444,0.1487,19,0.205849418,N,N,60
correctFrequencylow:learning.ct89,-0.9707,0.3779,-2.5684,0.0102,19,0.08955925,N,N,60
110,NA,NA,NA,NA,NA,NA,NA,NA,51
(Intercept)40,1.2554,0.4286,2.9292,0.0034,179,NA,N,N,51
correctFrequency.ct40,-4.0115,0.7327,-5.4751,0,179,244733.4768,N,N,51
learning.ct40,0.8604,0.7683,1.1199,0.2628,179,1.51799599,N,N,51
correctFrequency.ct:learning.ct40,-0.5965,1.2605,-0.4733,0.636,179,0.619983566,N,N,51
correctFrequencyhigh:learning.ct40,0.0309,0.8966,0.0345,0.9725,179,0.619234488,N,N,51
correctFrequencylow:learning.ct40,-0.487,0.5791,-0.8409,0.4004,179,0.265258132,N,N,51
(Intercept)114,1.3023,0.4443,2.9311,0.0034,159,NA,N,N,51
correctFrequency.ct114,-4.5865,0.6093,-7.5279,0,159,54151805345,N,N,51
learning.ct114,-0.5267,0.8341,-0.6314,0.5278,159,0.589478674,N,N,51
correctFrequency.ct:learning.ct114,-1.5886,1.0792,-1.472,0.141,159,0.376480809,N,N,51
correctFrequencyhigh:learning.ct114,1.1587,1.298,0.8927,0.372,159,1.285918826,N,N,51
correctFrequencylow:learning.ct114,0.5621,0.5388,1.0434,0.2968,159,1.0797924,N,N,51
(Intercept)212,1.1013,0.3916,2.8121,0.0049,139,NA,N,N,51
correctFrequency.ct212,-4.0987,0.7283,-5.6277,0,139,510597.8718,N,N,51
learning.ct212,0.2035,0.7044,0.2888,0.7727,139,0.860901603,N,N,51
correctFrequency.ct:learning.ct212,-1.6365,1.2859,-1.2727,0.2031,139,0.457636387,N,N,51
correctFrequencyhigh:learning.ct212,0.2677,1.1995,0.2231,0.8234,139,0.81179052,N,N,51
correctFrequencylow:learning.ct212,-1.321,0.7316,-1.8056,0.071,139,0.215189462,N,N,51
(Intercept)310,0.4569,0.229,1.9954,0.046,119,NA,N,N,51
correctFrequency.ct310,-4.0738,0.7806,-5.2191,0,119,64077.40825,N,N,51
learning.ct310,-0.4889,0.3936,-1.2421,0.2142,119,0.260312392,N,N,51
