"","objectLookedAt","timeRel.bin","frequency","block3","proportionLooks"
"324","mismatch2LabelLk",100,"h","block34",0.136261838711805
"325","targetLabelLk",100,"h","block34",0.0994490841992983
"326","mismatch1LabelLk",150,"h","block34",0.101682398669092
"327","mismatch2LabelLk",150,"h","block34",0.131000792326192
"328","targetLabelLk",150,"h","block34",0.111578810417679
"329","mismatch1LabelLk",200,"h","block34",0.109640895478703
"330","mismatch2LabelLk",200,"h","block34",0.110769884262002
"331","targetLabelLk",200,"h","block34",0.14802261857676
"332","mismatch1LabelLk",250,"h","block34",0.124909400641296
"333","mismatch2LabelLk",250,"h","block34",0.105099192486467
"334","targetLabelLk",250,"h","block34",0.213488202363181
"335","mismatch1LabelLk",300,"h","block34",0.0955475779252283
"336","mismatch2LabelLk",300,"h","block34",0.11168276585313
"337","targetLabelLk",300,"h","block34",0.168398775245314
"338","mismatch1LabelLk",350,"h","block34",0.0911599548276156
"339","mismatch2LabelLk",350,"h","block34",0.122695831212578
"340","targetLabelLk",350,"h","block34",0.172292811923565
"341","mismatch1LabelLk",400,"h","block34",0.0820480485450177
"342","mismatch2LabelLk",400,"h","block34",0.097151031424088
"343","targetLabelLk",400,"h","block34",0.201703953266521
"344","mismatch1LabelLk",450,"h","block34",0.105072728743978
"345","mismatch2LabelLk",450,"h","block34",0.114870841400476
"346","targetLabelLk",450,"h","block34",0.196952990281225
"347","mismatch1LabelLk",500,"h","block34",0.154866343696911
"348","mismatch2LabelLk",500,"h","block34",0.0875013720839378
"349","targetLabelLk",500,"h","block34",0.225223951750507
"350","mismatch1LabelLk",550,"h","block34",0.0902957715920303
"351","mismatch2LabelLk",550,"h","block34",0.110984044432719
"352","targetLabelLk",550,"h","block34",0.266429216848947
"353","mismatch1LabelLk",600,"h","block34",0.105323287491142
"354","mismatch2LabelLk",600,"h","block34",0.0670822452756213
"355","targetLabelLk",600,"h","block34",0.30909484585653
"356","mismatch1LabelLk",650,"h","block34",0.114848399358812
"357","mismatch2LabelLk",650,"h","block34",0.0826854568297809
"358","targetLabelLk",650,"h","block34",0.353288508860565
"359","mismatch1LabelLk",700,"h","block34",0.0364242678297165
"360","mismatch2LabelLk",700,"h","block34",0.0359695990072445
"361","targetLabelLk",700,"h","block34",0.40188092539957
"362","mismatch1LabelLk",750,"h","block34",0.0374492632908827
"363","mismatch2LabelLk",750,"h","block34",0.0221887469421071
"364","targetLabelLk",750,"h","block34",0.458795528903693
"365","mismatch1LabelLk",800,"h","block34",0.0382270260734537
"366","mismatch2LabelLk",800,"h","block34",0.0544094924177943
"367","targetLabelLk",800,"h","block34",0.456752094718535
"368","mismatch1LabelLk",850,"h","block34",0.0352444459935168
"369","mismatch2LabelLk",850,"h","block34",0.0245353102472237
"370","targetLabelLk",850,"h","block34",0.524958211010505
"371","mismatch1LabelLk",900,"h","block34",0.0298563813496911
"372","mismatch2LabelLk",900,"h","block34",0.0531200499664819
"373","targetLabelLk",900,"h","block34",0.471812810477689
"374","mismatch1LabelLk",950,"h","block34",0.0317436862745956
"375","mismatch2LabelLk",950,"h","block34",0.0463144641803122
"376","targetLabelLk",950,"h","block34",0.512787917418425
"377","mismatch1LabelLk",1000,"h","block34",0.0356566890714174
"378","mismatch2LabelLk",1000,"h","block34",0.030780154776878
"379","targetLabelLk",1000,"h","block34",0.519730065820591
"380","mismatch1LabelLk",1050,"h","block34",0.0366147600308759
"381","mismatch2LabelLk",1050,"h","block34",0.0304409675411823
"382","targetLabelLk",1050,"h","block34",0.510891961938656
"383","mismatch1LabelLk",1100,"h","block34",0.0303877960411386
"384","mismatch2LabelLk",1100,"h","block34",0.0636909011347078
"385","targetLabelLk",1100,"h","block34",0.441152308109938
"386","mismatch1LabelLk",1150,"h","block34",0.0315238291849825
"387","mismatch2LabelLk",1150,"h","block34",0.0536291342711084
"388","targetLabelLk",1150,"h","block34",0.446465656748225
"389","mismatch1LabelLk",1200,"h","block34",0.0168308962964452
"390","mismatch2LabelLk",1200,"h","block34",0.0465799109400013
"391","targetLabelLk",1200,"h","block34",0.475307456264956
"392","mismatch1LabelLk",1250,"h","block34",0.0167496476812612
"393","mismatch2LabelLk",1250,"h","block34",0.0629608815440196
"394","targetLabelLk",1250,"h","block34",0.507157020331014
"395","mismatch1LabelLk",1300,"h","block34",0.0756528899293044
"396","mismatch2LabelLk",1300,"h","block34",0.0306774161359752
"397","targetLabelLk",1300,"h","block34",0.465249123798453
"398","mismatch1LabelLk",1350,"h","block34",0.0742561033268761
"399","mismatch2LabelLk",1350,"h","block34",0.055899123979046
"400","targetLabelLk",1350,"h","block34",0.484934286339609
"401","mismatch1LabelLk",1400,"h","block34",0.0198752802677457
"402","mismatch2LabelLk",1400,"h","block34",0.0442936769987457
"403","targetLabelLk",1400,"h","block34",0.477879543416396
"404","mismatch1LabelLk",1450,"h","block34",0.0198296428946584
"405","mismatch2LabelLk",1450,"h","block34",0.0341018202609898
"406","targetLabelLk",1450,"h","block34",0.555056370661452
"407","mismatch1LabelLk",1500,"h","block34",0
"408","mismatch2LabelLk",1500,"h","block34",0
"409","targetLabelLk",1500,"h","block34",0.580555555555556
"410","mismatch1LabelLk",0,"l","block34",0.130208333333333
"411","mismatch2LabelLk",0,"l","block34",0.0868055555555556
"412","targetLabelLk",0,"l","block34",0.084375
"413","mismatch1LabelLk",50,"l","block34",0.122063149972633
"414","mismatch2LabelLk",50,"l","block34",0.107725694444444
"415","targetLabelLk",50,"l","block34",0.0660207847707848
"416","mismatch1LabelLk",100,"l","block34",0.130479867014793
"417","mismatch2LabelLk",100,"l","block34",0.0959253346806559
"418","targetLabelLk",100,"l","block34",0.118072164763341
"419","mismatch1LabelLk",150,"l","block34",0.127366383616384
"420","mismatch2LabelLk",150,"l","block34",0.102044859076109
"421","targetLabelLk",150,"l","block34",0.0783742467210209
"422","mismatch1LabelLk",200,"l","block34",0.147755089069427
"423","mismatch2LabelLk",200,"l","block34",0.099023199023199
"424","targetLabelLk",200,"l","block34",0.0759951853701854
"425","mismatch1LabelLk",250,"l","block34",0.131767031659273
