resp,category,fribbleSelected,task,subjID,trial,labelPresented,frequency,rt,acc,type_of_resp,expeType
21125,2,wug,2AFC - 4 pictures,3467073,48,dep,low,1883.19499999989,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3430836,48,dep,low,2779.90499999988,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3424063,22,wug,low,2081.99999999999,1,match,pilot1
21125,2,wug,2AFC - 4 pictures,3473048,11,dep,low,2334.01000000049,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3394859,22,wug,low,1952.2799999977,1,match,pilot1
21125,2,wug,2AFC - 4 pictures,3430836,11,dep,low,2871.84999999999,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3473048,7,dep,low,2327.37999999972,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3467073,7,dep,low,1633.60499999999,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3475213,7,dep,low,2608.3599999547,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3430836,7,dep,low,3255.33999999994,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3475213,22,wug,low,2096.91500011832,1,match,pilot1
21125,2,wug,2AFC - 4 pictures,3491839,48,dep,low,878.804999999382,0,mismatch-type1,pilot1
21175,2,wug,2AFC - 4 pictures,3424063,42,wug,high,1120,1,match,pilot1
21175,2,wug,2AFC - 4 pictures,3473048,42,wug,high,1360.095,1,match,pilot1
21175,2,wug,2AFC - 4 pictures,3467073,42,wug,high,1201.39000000016,1,match,pilot1
21175,2,wug,2AFC - 4 pictures,3481518,42,wug,high,1131.07000000309,1,match,pilot1
21175,2,wug,2AFC - 4 pictures,3430836,42,wug,high,3032.2349999999,1,match,pilot1
21175,2,wug,2AFC - 4 pictures,3394859,42,wug,high,1519.87000001827,1,match,pilot1
21175,2,wug,2AFC - 4 pictures,3475213,42,wug,high,2412.08000015467,1,match,pilot1
21225,2,wug,2AFC - 4 pictures,3394859,12,wug,low,2498.61500001862,1,match,pilot1
21225,2,wug,2AFC - 4 pictures,3475213,12,wug,low,2653.69500010274,1,match,pilot1
21225,2,wug,2AFC - 4 pictures,3424063,12,wug,low,2372,1,match,pilot1
21225,2,wug,2AFC - 4 pictures,3481518,12,wug,low,2082.69499999005,1,match,pilot1
21325,2,wug,2AFC - 4 pictures,3473048,54,dep,low,1695.74999999895,0,mismatch-type1,pilot1
21325,2,wug,2AFC - 4 pictures,3467073,54,dep,low,1187.40500000012,0,mismatch-type1,pilot1
21325,2,wug,2AFC - 4 pictures,3430836,54,dep,low,2749.81000000003,0,mismatch-type1,pilot1
21425,2,wug,2AFC - 4 pictures,3491839,20,tob,low,1121.75999999999,0,mismatch-type2,pilot1
21525,2,wug,2AFC - 4 pictures,3475213,34,dep,low,2292.40000015125,0,mismatch-type1,pilot1
21525,2,wug,2AFC - 4 pictures,3473048,34,dep,low,2445.8649999997,0,mismatch-type1,pilot1
21675,2,wug,2AFC - 4 pictures,3475213,36,wug,high,2369.47499983944,1,match,pilot1
21675,2,wug,2AFC - 4 pictures,3473048,36,wug,high,2135.24500000131,1,match,pilot1
21675,2,wug,2AFC - 4 pictures,3394859,36,wug,high,1514.49499998125,1,match,pilot1
21675,2,wug,2AFC - 4 pictures,3481518,36,wug,high,1225.36000001128,1,match,pilot1
21675,2,wug,2AFC - 4 pictures,3424063,36,wug,high,1455,1,match,pilot1
21675,2,wug,2AFC - 4 pictures,3430836,36,wug,high,1567.21500000003,1,match,pilot1
21675,2,wug,2AFC - 4 pictures,3421453,36,wug,high,2833.76000000135,1,match,pilot1
21675,2,wug,2AFC - 4 pictures,3467073,36,wug,high,1468.10999999978,1,match,pilot1
21725,2,wug,2AFC - 4 pictures,3421453,44,tob,low,1478.81500000221,0,mismatch-type2,pilot1
21775,2,wug,2AFC - 4 pictures,3421453,15,dep,high,1647.35500000097,0,mismatch-type2,pilot1
21875,2,wug,2AFC - 4 pictures,3481518,13,wug,high,1159.76999999839,1,match,pilot1
21875,2,wug,2AFC - 4 pictures,3473048,13,wug,high,1974.99499999957,1,match,pilot1
21875,2,wug,2AFC - 4 pictures,3430836,13,wug,high,1981.495,1,match,pilot1
21875,2,wug,2AFC - 4 pictures,3475213,13,wug,high,1997.02499993145,1,match,pilot1
21875,2,wug,2AFC - 4 pictures,3424063,13,wug,high,2482,1,match,pilot1
21875,2,wug,2AFC - 4 pictures,3421453,13,wug,high,1285.06999999809,1,match,pilot1
21875,2,wug,2AFC - 4 pictures,3467073,13,wug,high,2031.73000000016,1,match,pilot1
21925,2,wug,2AFC - 4 pictures,3424063,30,wug,low,1236,1,match,pilot1
21925,2,wug,2AFC - 4 pictures,3394859,30,wug,low,2434.30000002263,1,match,pilot1
21925,2,wug,2AFC - 4 pictures,3421453,30,wug,low,2398.75000000029,1,match,pilot1
21925,2,wug,2AFC - 4 pictures,3481518,30,wug,low,2673.55500001577,1,match,pilot1
21925,2,wug,2AFC - 4 pictures,3475213,30,wug,low,2241.73999996856,1,match,pilot1
22075,2,wug,2AFC - 4 pictures,3424063,8,wug,high,1934.99999999999,1,match,pilot1
22075,2,wug,2AFC - 4 pictures,3394859,8,wug,high,1587.17000001343,1,match,pilot1
22075,2,wug,2AFC - 4 pictures,3473048,8,wug,high,2602.07999999966,1,match,pilot1
22075,2,wug,2AFC - 4 pictures,3475213,8,wug,high,1714.12000013515,1,match,pilot1
22075,2,wug,2AFC - 4 pictures,3430836,8,wug,high,3213.77500000017,1,match,pilot1
22075,2,wug,2AFC - 4 pictures,3481518,8,wug,high,1587.65500001027,1,match,pilot1
22075,2,wug,2AFC - 4 pictures,3421453,8,wug,high,1543.02499999903,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3473048,49,wug,high,1799.72500000076,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3481518,49,wug,high,1051.50499998126,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3424063,49,wug,high,2080.99999999997,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3421453,49,wug,high,2604.12999999971,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3394859,49,wug,high,1812.65499998699,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3430836,49,wug,high,1836.46499999985,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3467073,49,wug,high,1540.14000000007,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3475213,49,wug,high,1778.42999994755,1,match,pilot1
22225,2,wug,2AFC - 4 pictures,3394859,39,dep,low,2828.125,0,mismatch-type1,pilot1
22225,2,wug,2AFC - 4 pictures,3473048,39,dep,low,2382.97500000044,0,mismatch-type1,pilot1
22525,2,wug,2AFC - 4 pictures,3473048,38,dep,low,2735.74999999983,0,mismatch-type1,pilot1
22525,2,wug,2AFC - 4 pictures,3394859,24,wug,low,1231.98500002036,1,match,pilot1
22525,2,wug,2AFC - 4 pictures,3421453,43,tob,low,1558.04000000353,0,mismatch-type2,pilot1
22525,2,wug,2AFC - 4 pictures,3475213,38,dep,low,3097.29499998502,0,mismatch-type1,pilot1
22525,2,wug,2AFC - 4 pictures,3421453,24,wug,low,1359.12500000268,1,match,pilot1
22525,2,wug,2AFC - 4 pictures,3430836,43,tob,low,2596.04999999987,0,mismatch-type2,pilot1
22525,2,wug,2AFC - 4 pictures,3467073,24,wug,low,3291.37499999978,1,match,pilot1
22525,2,wug,2AFC - 4 pictures,3475213,24,wug,low,1635.39499999024,1,match,pilot1
22525,2,wug,2AFC - 4 pictures,3491839,38,dep,low,1991.72,0,mismatch-type1,pilot1
22575,2,wug,2AFC - 4 pictures,3491839,55,bim,control_high,1400.84500000012,0,errorControl,pilot1
22875,2,wug,2AFC - 4 pictures,3421453,41,tob,high,1213.43500000512,0,mismatch-type1,pilot1
