Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-gazk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,fribbleID,labelPresented,ShowProgressBar,frequency,trialType,list
40,1617182640159,31/03/2021 09:24:00,1617182639200,1,31/03/2021 10:23:59,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,39,8,2,Screen 2,continueButton,continue_button,5837.720000000001,,,,,0,1,0,,,,,1,task,22575.jpg,"<p style=""font-size: 500%;""> tob </p>",1,h,mismatch-type1,3
41,1617182640485,31/03/2021 09:24:00,1617182639641,1,31/03/2021 10:23:59,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,51,9,1,Screen 1,fixation,fixation,449.9820000000036,,,,,0,1,0,,,,,1,task,22325.jpg,"<p style=""font-size: 500%;""> dep </p>",1,l,mismatch-type1,3
42,1617182640549,31/03/2021 09:24:00,1617182639665,1,31/03/2021 10:23:59,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,51,9,2,Screen 2,slider,response_slider_initialValue,0,,,0,,0,1,0,,,,,1,task,22325.jpg,"<p style=""font-size: 500%;""> dep </p>",1,l,mismatch-type1,3
43,1617182643513,31/03/2021 09:24:03,1617182642649,1,31/03/2021 10:24:02,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,51,9,2,Screen 2,slider,response_slider_endValue,2984.0149999999994,,,-100,,0,1,0,,,,,1,task,22325.jpg,"<p style=""font-size: 500%;""> dep </p>",1,l,mismatch-type1,3
44,1617182643731,31/03/2021 09:24:03,1617182642651,1,31/03/2021 10:24:02,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,51,9,2,Screen 2,continueButton,continue_button,2984.0149999999994,,,,,0,1,0,,,,,1,task,22325.jpg,"<p style=""font-size: 500%;""> dep </p>",1,l,mismatch-type1,3
45,1617182643950,31/03/2021 09:24:03,1617182643085,1,31/03/2021 10:24:03,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,36,10,1,Screen 1,fixation,fixation,449.9820000000036,,,,,0,1,0,,,,,1,task,30525.jpg,"<p style=""font-size: 500%;""> tob </p>",1,l,match,3
46,1617182644143,31/03/2021 09:24:04,1617182643107,1,31/03/2021 10:24:03,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,36,10,2,Screen 2,slider,response_slider_initialValue,0,,,0,,0,1,0,,,,,1,task,30525.jpg,"<p style=""font-size: 500%;""> tob </p>",1,l,match,3
47,1617182647112,31/03/2021 09:24:07,1617182646256,1,31/03/2021 10:24:06,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,36,10,2,Screen 2,slider,response_slider_endValue,3149.2600000001403,,,100,,0,1,0,,,,,1,task,30525.jpg,"<p style=""font-size: 500%;""> tob </p>",1,l,match,3
48,1617182647232,31/03/2021 09:24:07,1617182646258,1,31/03/2021 10:24:06,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,36,10,2,Screen 2,continueButton,continue_button,3149.2600000001403,,,,,0,1,0,,,,,1,task,30525.jpg,"<p style=""font-size: 500%;""> tob </p>",1,l,match,3
49,1617182647584,31/03/2021 09:24:07,1617182646701,1,31/03/2021 10:24:06,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,40,11,1,Screen 1,fixation,fixation,449.9820000000036,,,,,0,1,0,,,,,1,task,12425.jpg,"<p style=""font-size: 500%;""> dep </p>",1,l,match,3
