resp,subjID,trial_index,plugin,rt,prolificID,task,learning,fribbleID,label,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType,acc
11,vzebe40w15,596,html-button-response,1302.994999976363,5fce9a625474c41129c10fb1,labelPictures,LF,29_11_30_39,tob,110400,4,low,bim,lightblue,exp,0
11,yhakp9pfe9,576,html-button-response,2639.835000009043,5f57a42b46df8927414990fc,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,v9kdh4rpsp,496,html-button-response,3011.590000009164,5ed14691e983f5067842fd20,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,823tgxfuz7,502,html-button-response,1852.8950000000186,5f632ea32e85353d93872c67,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,6j0z0b0c72,506,html-button-response,2537.4850000080187,5ea44104a980d23d4f21f7ad,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,s52728tqhv,592,html-button-response,1315,6014777b8a88c449408352c5,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,3b8h3oor4p,592,html-button-response,1483.654999989085,5f61bbe3c18cc915aac68b32,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,qnx5xathwg,526,html-button-response,2060.5450000148267,5cc7f4b3854fb30001d0c13a,labelPictures,LF,29_11_30_39,tob,110400,4,low,bim,lightblue,exp,0
11,jfuskuq35s,558,html-button-response,1320,5f50e3d60305bb088998b766,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,t5ex7zbfo2,566,html-button-response,1915.665000000503,5fd7ee02c0a4610ea7d258b4,labelPictures,LF,52_12_6_11,dep,110400,4,high,bim,lightblue,exp,0
11,sxbrz00bs5,584,html-button-response,2907,5ee7335388010f4c1b6bbdc2,labelPictures,LF,52_12_6_11,dep,110400,4,high,bim,lightblue,exp,0
11,e72zvev590,512,html-button-response,1130.78000000678,5e6617541d7e1a3885c45e85,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,gcrz58pdx0,590,html-button-response,1669.9350000126287,5f9b106e21189e2d3b853846,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,vzebe40w15,530,html-button-response,969.5550000178628,5fce9a625474c41129c10fb1,labelPictures,LF,29_11_30_39,tob,110400,4,low,bim,lightblue,exp,0
11,rhglzajksw,518,html-button-response,1599.6400000003632,5ea98f445ef6ee093f4f05ec,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,53gv7n4gtu,540,html-button-response,1447.745000001276,601fd3cd92f028532a257baf,labelPictures,LF,29_11_30_39,tob,110400,4,low,bim,lightblue,exp,0
11,b00qxzsc7o,592,html-button-response,1368.4199999988778,5ffc250201d8312c325a16a5,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,b576vfvfdd,506,html-button-response,877,5ea85cf4ad1f760a537eadfe,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,0yjn7eg9zc,522,html-button-response,1620.8350000088103,5f06ee44c10cab2655ea3822,labelPictures,FL,52_12_6_11,dep,110400,4,high,bim,lightblue,exp,0
11,yc8mkz3uaa,584,html-button-response,1079.314999980852,5eaeb8b513f83a57d35db285,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,53gv7n4gtu,526,html-button-response,913.5949999999721,601fd3cd92f028532a257baf,labelPictures,LF,29_11_30_39,tob,110400,4,low,bim,lightblue,exp,0
11,e4msx463h0,550,html-button-response,1338.8949999934994,5f1f04c1604e3508877cf62a,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,cpd84kvzmq,596,html-button-response,1409.9200000055134,5ed63a6d50ece703aa7bffb9,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,0tf06g8uzp,594,html-button-response,1522.9350000000559,5b98223fbdb1df0001f1e684,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,zq33udleq5,592,html-button-response,1182.0250000001397,5ec527351fc19046fdd6cd59,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,nsqbzarmrc,580,html-button-response,965.6050000012619,601e9d81606b8d337ab338e4,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,5urksolxqo,516,html-button-response,1043.455000006361,5d10fe33fbbf3d001a56d936,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,vzebe40w15,588,html-button-response,931.6000000108033,5fce9a625474c41129c10fb1,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,z4xhznw88z,532,html-button-response,1105.2700000000186,5fae68d5b74c182cacbe5d6a,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,dn0e1jm7ff,516,html-button-response,1643.0949999921722,5e0cf83bc12a3649f4c9ee92,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,zt96waez4c,492,html-button-response,881.5600000016857,5daca66b71a51b00113172ce,labelPictures,LF,52_12_6_11,dep,110400,4,high,bim,lightblue,exp,0
11,9x75jv8vpf,582,html-button-response,1339.834999998915,5f34cb60fa6cf63ecf31902d,labelPictures,FL,29_11_30_39,tob,110400,4,low,bim,lightblue,exp,0
11,sxbrz00bs5,490,html-button-response,2351,5ee7335388010f4c1b6bbdc2,labelPictures,LF,29_11_30_39,tob,110400,4,low,bim,lightblue,exp,0
11,s80pnsgly8,564,html-button-response,2604.9999999813735,5ed09b6985143f000c08b6b8,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,lpb8r8jcs5,582,html-button-response,2130.3550000011455,5dc1e79c880a2915309a8ee3,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,26fmzvup9c,512,html-button-response,1318.8099996186793,5e94262948e806768dfa43ed,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,x8lrz32hbv,544,html-button-response,1116.1400000001304,5e7b899a6b890e0659e5e82e,labelPictures,FL,29_11_30_39,tob,110400,4,low,bim,lightblue,exp,0
11,55ovzw4068,574,html-button-response,2098.1449999962933,5f830f1644cc14447b03305c,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,d1c4anqfzp,490,html-button-response,1810,5c5d6b55b7ce2100011fa04e,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,vzebe40w15,538,html-button-response,2097.845000011148,5fce9a625474c41129c10fb1,labelPictures,LF,52_12_6_11,dep,110400,4,high,bim,lightblue,exp,0
