fribbleID,subjID,trial_index,plugin,rt,prolificID,task,resp,learning,label,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType,acc
11,4euvjgbfcc,510,image-button-response,2771,600355394a113e408f54cce5,pictureLabels,tob,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,0
11,uyc3tp4v50,510,image-button-response,897,6017d6a23bdebea5e9062e9d,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,ufb4y7bj2f,510,image-button-response,1030,5c2ce112f422870001fcab1f,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,9q76krfydn,510,image-button-response,720,5f3d9a9f10a5f219cfe0b404,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,mvqchu948c,510,image-button-response,2004,5b421b9ac2e3810001763252,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,ym6cxam2f3,510,image-button-response,1072,5ee87dba82ed8101333c7744,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,e4s1gf870t,510,image-button-response,864,5f677b748c011837e12cba61,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,8706z1pc24,510,image-button-response,840,5c916456ec114b0016418dca,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,jlov66vr8s,510,image-button-response,1014,5fc65eb000091528ea745f65,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,t2ubvm70lv,510,image-button-response,2058,5f858743256d25036d9fa693,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,aj9q5o0gf2,510,image-button-response,1919,5b01e69aa496b300013d5b9b,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,w2brxm7ay2,510,image-button-response,818,5f60713e595007000a8e1da7,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,wod6ma11s3,510,image-button-response,1302,5f8228f40afba53534e6f583,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,8k7ujzqkju,510,image-button-response,1884,5e8b2e599abd417d9512a877,pictureLabels,dep,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,0
11,q963ed16o4,510,image-button-response,1033,6006cf1238099707863fc7b4,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,5g2fbehb04,510,image-button-response,NA,591a1f4800a5650001276188,pictureLabels,NA,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,NA
11,1e9hhup9lf,510,image-button-response,796,5cbc680bfb8dfe0001839ba2,pictureLabels,tob,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,0
