subjID learning frequency type label fribble fribbleCategory resp
1459003 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1459003 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1459064 FL low match dep_cat1 1.2 cat1 25.75
1459064 FL low match bim_cat2 2.2 cat2 NA
1459064 FL low match tob_cat3 3.2 cat3 NA
1459064 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1459064 FL low mismatch-type1 bim_cat2 3.2 cat3 50
1459064 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1459064 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1459064 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1459064 FL low mismatch-type2 tob_cat3 2.2 cat2 21
1432011 FL low match dep_cat1 1.2 cat1 67.25
1432011 FL low match bim_cat2 2.2 cat2 NA
1432011 FL low match tob_cat3 3.2 cat3 NA
1432011 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1432011 FL low mismatch-type1 bim_cat2 3.2 cat3 22
1432011 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1432011 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1432011 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1432011 FL low mismatch-type2 tob_cat3 2.2 cat2 21.5
1459047 FL low match dep_cat1 1.2 cat1 NA
1459047 FL low match bim_cat2 2.2 cat2 NA
1459047 FL low match tob_cat3 3.2 cat3 NA
1459047 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1459047 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1459047 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1459047 FL low mismatch-type2 dep_cat1 3.2 cat3 -62.75
1459047 FL low mismatch-type2 bim_cat2 1.2 cat1 -50.75
1459047 FL low mismatch-type2 tob_cat3 2.2 cat2 -3.66666666666667
1422466 FL low match dep_cat1 1.2 cat1 NA
1422466 FL low match bim_cat2 2.2 cat2 NA
1422466 FL low match tob_cat3 3.2 cat3 NA
1422466 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1422466 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1422466 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1422466 FL low mismatch-type2 dep_cat1 3.2 cat3 2
1422466 FL low mismatch-type2 bim_cat2 1.2 cat1 37.75
1422466 FL low mismatch-type2 tob_cat3 2.2 cat2 25.25
1422677 FL low match dep_cat1 1.2 cat1 NA
1422677 FL low match bim_cat2 2.2 cat2 NA
1422677 FL low match tob_cat3 3.2 cat3 -11
1422677 FL low mismatch-type1 dep_cat1 2.2 cat2 -6
1422677 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1422677 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1422677 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1422677 FL low mismatch-type2 bim_cat2 1.2 cat1 -16.6666666666667
1422677 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1422477 FL low match dep_cat1 1.2 cat1 NA
1422477 FL low match bim_cat2 2.2 cat2 NA
1422477 FL low match tob_cat3 3.2 cat3 26.25
1422477 FL low mismatch-type1 dep_cat1 2.2 cat2 71
1422477 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1422477 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1422477 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1422477 FL low mismatch-type2 bim_cat2 1.2 cat1 66.25
1422477 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1459029 FL low match dep_cat1 1.2 cat1 NA
1459029 FL low match bim_cat2 2.2 cat2 15.5
1459029 FL low match tob_cat3 3.2 cat3 NA
1459029 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1459029 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1459029 FL low mismatch-type1 tob_cat3 1.2 cat1 22.3333333333333
1459029 FL low mismatch-type2 dep_cat1 3.2 cat3 -100
1459029 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1459029 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1459708 FL low match dep_cat1 1.2 cat1 NA
1459708 FL low match bim_cat2 2.2 cat2 NA
1459708 FL low match tob_cat3 3.2 cat3 38.5
1459708 FL low mismatch-type1 dep_cat1 2.2 cat2 78
1459708 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1459708 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1459708 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1459708 FL low mismatch-type2 bim_cat2 1.2 cat1 -61.75
1459708 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1459024 FL low match dep_cat1 1.2 cat1 28.3333333333333
1459024 FL low match bim_cat2 2.2 cat2 -16.6666666666667
1459024 FL low match tob_cat3 3.2 cat3 43.25
