subjID learning task fribbleID label rt resp trialType trialIndex acc Experiment.Version category frequency
1414945 FL learningBlock1 32225 FLtob NA NA audio-keyboard-response 52 NA 14 3 25
1414945 FL learningBlock1 22775 FLbim NA NA audio-keyboard-response 55 NA 14 2 75
1414945 FL learningBlock1 10975 FLdep NA NA audio-keyboard-response 58 NA 14 1 75
1414945 FL learningBlock1 30825 FLtob NA NA audio-keyboard-response 61 NA 14 3 25
1414945 FL learningBlock1 11925 FLdep NA NA audio-keyboard-response 64 NA 14 1 25
1414945 FL learningBlock1 21925 FLbim NA NA audio-keyboard-response 67 NA 14 2 25
1414945 FL learningBlock1 20775 FLbim NA NA audio-keyboard-response 70 NA 14 2 75
1414945 FL learningBlock1 12975 FLdep NA NA audio-keyboard-response 73 NA 14 1 75
1414945 FL learningBlock1 10325 FLdep NA NA audio-keyboard-response 76 NA 14 1 25
1414945 FL learningBlock1 13575 FLdep NA NA audio-keyboard-response 79 NA 14 1 75
1414945 FL learningBlock1 10275 FLdep NA NA audio-keyboard-response 82 NA 14 1 75
1414945 FL learningBlock1 10525 FLdep NA NA audio-keyboard-response 85 NA 14 1 25
1414945 FL learningBlock1 10325 FLdep NA NA audio-keyboard-response 88 NA 14 1 25
1414945 FL learningBlock1 10175 FLdep NA NA audio-keyboard-response 91 NA 14 1 75
1414945 FL learningBlock1 32775 FLtob NA NA audio-keyboard-response 94 NA 14 3 75
1414945 FL learningBlock1 32875 FLtob NA NA audio-keyboard-response 97 NA 14 3 75
1414945 FL learningBlock1 30275 FLtob NA NA audio-keyboard-response 100 NA 14 3 75
1414945 FL learningBlock1 21475 FLbim NA NA audio-keyboard-response 103 NA 14 2 75
1414945 FL learningBlock1 30975 FLtob NA NA audio-keyboard-response 106 NA 14 3 75
1414945 FL learningBlock1 20575 FLbim NA NA audio-keyboard-response 109 NA 14 2 75
1414945 FL learningBlock2 32325 FLtob NA NA audio-keyboard-response 118 NA 14 3 25
1414945 FL learningBlock2 32875 FLtob NA NA audio-keyboard-response 121 NA 14 3 75
1414945 FL learningBlock2 20875 FLbim NA NA audio-keyboard-response 124 NA 14 2 75
1414945 FL learningBlock2 32325 FLtob NA NA audio-keyboard-response 127 NA 14 3 25
1414945 FL learningBlock2 20725 FLbim NA NA audio-keyboard-response 130 NA 14 2 25
1414945 FL learningBlock2 31375 FLtob NA NA audio-keyboard-response 133 NA 14 3 75
1414945 FL learningBlock2 31725 FLtob NA NA audio-keyboard-response 136 NA 14 3 25
1414945 FL learningBlock2 22075 FLbim NA NA audio-keyboard-response 139 NA 14 2 75
1414945 FL learningBlock2 21675 FLbim NA NA audio-keyboard-response 142 NA 14 2 75
1414945 FL learningBlock2 13375 FLdep NA NA audio-keyboard-response 145 NA 14 1 75
1414945 FL learningBlock2 31675 FLtob NA NA audio-keyboard-response 148 NA 14 3 75
1414945 FL learningBlock2 22875 FLbim NA NA audio-keyboard-response 151 NA 14 2 75
1414945 FL learningBlock2 21375 FLbim NA NA audio-keyboard-response 154 NA 14 2 75
1414945 FL learningBlock2 10125 FLdep NA NA audio-keyboard-response 157 NA 14 1 25
1414945 FL learningBlock2 33575 FLtob NA NA audio-keyboard-response 160 NA 14 3 75
1414945 FL learningBlock2 12975 FLdep NA NA audio-keyboard-response 163 NA 14 1 75
1414945 FL learningBlock2 23275 FLbim NA NA audio-keyboard-response 166 NA 14 2 75
1414945 FL learningBlock2 20175 FLbim NA NA audio-keyboard-response 169 NA 14 2 75
1414945 FL learningBlock2 32225 FLtob NA NA audio-keyboard-response 172 NA 14 3 25
1414945 FL learningBlock2 12475 FLdep NA NA audio-keyboard-response 175 NA 14 1 75
1414945 FL learningBlock2 12475 FLdep NA NA audio-keyboard-response 178 NA 14 1 75
1414945 FL learningBlock2 32775 FLtob NA NA audio-keyboard-response 181 NA 14 3 75
1414945 FL learningBlock2 21925 FLbim NA NA audio-keyboard-response 184 NA 14 2 25
1414945 FL learningBlock2 30875 FLtob NA NA audio-keyboard-response 187 NA 14 3 75
1414945 FL learningBlock3 31875 FLtob NA NA audio-keyboard-response 196 NA 14 3 75
1414945 FL learningBlock3 23275 FLbim NA NA audio-keyboard-response 199 NA 14 2 75
1414945 FL learningBlock3 30975 FLtob NA NA audio-keyboard-response 202 NA 14 3 75
1414945 FL learningBlock3 13575 FLdep NA NA audio-keyboard-response 205 NA 14 1 75
1414945 FL learningBlock3 32425 FLtob NA NA audio-keyboard-response 208 NA 14 3 25
1414945 FL learningBlock3 31075 FLtob NA NA audio-keyboard-response 211 NA 14 3 75
1414945 FL learningBlock3 22875 FLbim NA NA audio-keyboard-response 214 NA 14 2 75
1414945 FL learningBlock3 20275 FLbim NA NA audio-keyboard-response 217 NA 14 2 75
1414945 FL learningBlock3 31175 FLtob NA NA audio-keyboard-response 220 NA 14 3 75
1414945 FL learningBlock3 33075 FLtob NA NA audio-keyboard-response 223 NA 14 3 75
1414945 FL learningBlock3 12775 FLdep NA NA audio-keyboard-response 226 NA 14 1 75
1414945 FL learningBlock3 23075 FLbim NA NA audio-keyboard-response 229 NA 14 2 75
1414945 FL learningBlock3 10525 FLdep NA NA audio-keyboard-response 232 NA 14 1 25
1414945 FL learningBlock3 23075 FLbim NA NA audio-keyboard-response 235 NA 14 2 75
1414945 FL learningBlock3 10375 FLdep NA NA audio-keyboard-response 238 NA 14 1 75
1414945 FL learningBlock3 31875 FLtob NA NA audio-keyboard-response 241 NA 14 3 75
1414945 FL learningBlock3 13175 FLdep NA NA audio-keyboard-response 244 NA 14 1 75
1414945 FL learningBlock3 22175 FLbim NA NA audio-keyboard-response 247 NA 14 2 75
1414945 FL learningBlock3 33575 FLtob NA NA audio-keyboard-response 250 NA 14 3 75
1414945 FL learningBlock3 32475 FLtob NA NA audio-keyboard-response 253 NA 14 3 75
1414945 FL learningBlock3 11325 FLdep NA NA audio-keyboard-response 256 NA 14 1 25
1414945 FL learningBlock3 30875 FLtob NA NA audio-keyboard-response 259 NA 14 3 75
1414945 FL learningBlock3 31675 FLtob NA NA audio-keyboard-response 262 NA 14 3 75
1414945 FL learningBlock3 30825 FLtob NA NA audio-keyboard-response 265 NA 14 3 25
