resp subjID learning task fribbleID label rt trialType trialIndex acc Experiment.Version category frequency cueID bodyShape
10625 1431989 LF generalizationLP 10625_20225_31925_ tob 2386.5700000897 audio-button-response 416 0 14 1 25 hffe barrel
10625 1422477 FL generalizationLP 10625_21925_31925_ dep 2041.51000001002 audio-button-response 425 1 14 1 25 hffe barrel
10625 1459703 FL generalizationLP 10625_22225_30225_ tob 1693.78999993205 audio-button-response 555 0 15 1 25 hffe barrel
10625 1420169 LF generalizationLP 10625_22525_31425_ dep 1449.02499997988 audio-button-response 558 1 14 1 25 hffe barrel
10625 1459078 LF generalizationLP 10625_22425_31125_ tob 1998.06000000006 audio-button-response 424 0 15 1 25 hffe barrel
10625 1459024 FL generalizationLP 10625_20725_31425_ bim 1449.96999998693 audio-button-response 443 0 15 1 25 hffe barrel
10625 1420165 FL generalizationLP 10625_20725_32125_ dep 1822.09999999031 audio-button-response 441 1 14 1 25 hffe barrel
10625 1459048 FL generalizationLP 10625_20325_32525_ tob 382 audio-button-response 437 0 15 1 25 hffe barrel
10625 1459036 LF generalizationLP 10625_21125_30625_ bim 1270.03000001423 audio-button-response 544 0 15 1 25 hffe barrel
10675 1431965 FL generalizationLP 10675_20875_31275_ dep 2063 audio-button-response 435 1 14 1 75 cbcd jar
10675 1431953 FL generalizationLP 10675_22875_30375_ dep 1524.71000002697 audio-button-response 559 1 14 1 75 cbcd jar
10675 1459013 FL generalizationLP 10675_21475_31575_ bim 1339 audio-button-response 559 0 15 1 75 cbcd jar
10675 1420622 FL generalizationLP 10675_22775_33075_ dep 1484.93999987841 audio-button-response 549 1 14 1 75 cbcd jar
10675 1432003 LF generalizationLP 10675_23075_31975_ bim 1159 audio-button-response 450 0 14 1 75 cbcd jar
10675 1431997 FL generalizationLP 10675_23075_31875_ tob 1341.27500001341 audio-button-response 537 0 14 1 75 cbcd jar
10675 1459052 FL generalizationLP 10675_20875_31675_ dep 1943.63000011072 audio-button-response 431 1 15 1 75 cbcd jar
10675 1422465 FL generalizationLP 10675_23275_30475_ dep 1124.85500006005 audio-button-response 445 1 14 1 75 cbcd jar
