Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Correct,learningType,presentedImage,presentedLabel,response
37,1589724786185,17/05/2020 14:13:06,1589724786912,1,17/05/2020 15:13:06,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,760,[37],37,randomDot,,rdk,18,104485,1,,,,
38,1589724786247,17/05/2020 14:13:06,1589724786914,1,17/05/2020 15:13:06,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
39,1589724787513,17/05/2020 14:13:07,1589724788244,1,17/05/2020 15:13:08,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,828,[37],37,randomDot,,rdk,19,105818,1,,,,
40,1589724787575,17/05/2020 14:13:07,1589724788246,1,17/05/2020 15:13:08,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
41,1589724788718,17/05/2020 14:13:08,1589724789461,1,17/05/2020 15:13:09,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,712,[39],39,randomDot,,rdk,20,107035,1,,,,
42,1589724788780,17/05/2020 14:13:08,1589724789462,1,17/05/2020 15:13:09,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
43,1589724793949,17/05/2020 14:13:13,1589724794679,1,17/05/2020 15:13:14,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,4714,<p>You responded correctly on 83% of the trials.</p><p>Press any key to continue the experiment!</p>,17,,,html-keyboard-response,21,112253,,,,,
44,1589724794011,17/05/2020 14:13:14,1589724794681,1,17/05/2020 15:13:14,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
45,1589724827734,17/05/2020 14:13:47,1589724828471,1,17/05/2020 15:13:48,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,NA,,,instructions,,instructions,22,146045,,,,,
46,1589724827827,17/05/2020 14:13:47,1589724828474,1,17/05/2020 15:13:48,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
47,1589724828843,17/05/2020 14:13:48,1589724829556,1,17/05/2020 15:13:49,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"<div style=""font-size:60px;"">+</div>",,,,html-keyboard-response,23,147129,,,,,
48,1589724828921,17/05/2020 14:13:48,1589724829558,1,17/05/2020 15:13:49,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
49,1589724829827,17/05/2020 14:13:49,1589724830554,1,17/05/2020 15:13:50,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,/task/70033/56/asset/LFtob.mp3,,,,audio-keyboard-response,24,148128,,,,,
50,1589724829890,17/05/2020 14:13:49,1589724830556,1,17/05/2020 15:13:50,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
51,1589724830266,17/05/2020 14:13:50,1589724830993,1,17/05/2020 15:13:50,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,/task/70033/56/asset/30525.jpg,,learningBlock1,,image-keyboard-response,25,148567,,LF,/task/70033/56/asset/30525.jpg,/task/70033/56/asset/LFtob.mp3,
52,1589724830329,17/05/2020 14:13:50,1589724830995,1,17/05/2020 15:13:50,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
53,1589724831330,17/05/2020 14:13:51,1589724832074,1,17/05/2020 15:13:52,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"<div style=""font-size:60px;"">+</div>",,,,html-keyboard-response,26,149647,,,,,
54,1589724831393,17/05/2020 14:13:51,1589724832077,1,17/05/2020 15:13:52,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
55,1589724832253,17/05/2020 14:13:52,1589724832982,1,17/05/2020 15:13:52,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,/task/70033/56/asset/LFbim.mp3,,,,audio-keyboard-response,27,150556,,,,,
56,1589724832315,17/05/2020 14:13:52,1589724832984,1,17/05/2020 15:13:52,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
57,1589724832675,17/05/2020 14:13:52,1589724833422,1,17/05/2020 15:13:53,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,/task/70033/56/asset/21875.jpg,,learningBlock1,,image-keyboard-response,28,150996,,LF,/task/70033/56/asset/21875.jpg,/task/70033/56/asset/LFbim.mp3,
58,1589724832737,17/05/2020 14:13:52,1589724833424,1,17/05/2020 15:13:53,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
59,1589724833829,17/05/2020 14:13:53,1589724834503,1,17/05/2020 15:13:54,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"<div style=""font-size:60px;"">+</div>",,,,html-keyboard-response,29,152077,,,,,
60,1589724833875,17/05/2020 14:13:53,1589724834505,1,17/05/2020 15:13:54,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
61,1589724834753,17/05/2020 14:13:54,1589724835492,1,17/05/2020 15:13:55,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,/task/70033/56/asset/LFtob.mp3,,,,audio-keyboard-response,30,153065,,,,,
62,1589724834816,17/05/2020 14:13:54,1589724835493,1,17/05/2020 15:13:55,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
