fribbleID,subjID,language,plugin,codeword,rt,task,resp,learning,label,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType,acc
11,g6wblx1ehg,en,image-button-response,aj05er02,1701,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,tbo3kx7lyg,de,image-button-response,ke06ng04,1166,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,f0xfptzqrg,de,image-button-response,ay05em02,1401,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,zgrkqwru88,en,image-button-response,as04co18,1463,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,2z8ekchs9g,en,image-button-response,rt08ed02,847,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,75db5dymcw,de,image-button-response,er05en16,2692,pictureLabels,dep,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,0
11,9zuef86ced,de,image-button-response,rz06as26,1633,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,8vhxe9t9g0,en,image-button-response,ke05us31,1075,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,g4m3kbu4rq,en,image-button-response,ER04LF09,2818,pictureLabels,tob,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,0
11,5baebfz1ea,en,image-button-response,Ya05an03,1144,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,f64ncrzxu3,en,image-button-response,NS08US09,1201,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,mn35br66m1,de,image-button-response,IS05RY26,1081,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,wmv7c0r6c5,en,image-button-response,va04ik29,2061,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,kbwv2blq88,de,image-button-response,el09rd31,882,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,dt4f26xnjv,en,image-button-response,ER04LF09,1459,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,ty0rq2vzkd,en,image-button-response,eh06in06,1091,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,3yxnw7xt1g,de,image-button-response,cz06an18,823,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,7acm8wjh3r,en,image-button-response,na09ay17,1176,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,asumwjv4nj,en,image-button-response,ne06je04,1494,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,zm0cozjsh6,en,image-button-response,al05rt16,941,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,43qjs0ts63,en,image-button-response,la07as21,939,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
